,collocation,translate
1619,presidential,总统
1620,commitment,承诺
1621,emotional,情绪化
1622,supreme,至高
1623,bear,熊
1624,pocket,口袋
1625,thin,瘦的
1626,temperature,温度
1627,poll,民意测验
1628,surprise,惊喜
1629,proposal,建议书
1630,consequence,后果
1631,half,一半
1632,breath,呼吸
1633,sight,视线
1634,cover,盖子
1635,balance,余额
1636,adopt,领养
1637,minority,少数族裔
1638,straight,直
1639,attempt,尝试
1640,connect,连接
1641,works,作品
1642,teaching,教学
1643,belong,属于
1644,aid,援助
1645,advice,建议
1646,okay,好吧
1647,organize,组织
1648,(photograph),(照片)
1649,empty,空荡荡
1650,regional,区域性
1651,trail,小径
1652,novel,小说
1653,code,电码
1654,somehow,不知何故
1655,jury,陪审团
1656,iraqi,伊拉克人
1657,breast,乳房
1658,human,人类
1659,acknowledge,确认
1660,theme,主旋律
1661,storm,暴风雨
1662,record,记录
1663,union,友联市
1664,desk,课桌
1665,fear,恐惧
1666,thanks,谢谢
1667,fruit,水果
1668,under,在……下面
1669,expensive,价格昂贵
1670,yellow,黄色
1671,conclusion,结论
1672,prime,素数
1673,shadow,阴影
1674,struggle,奋斗
1675,conclude,结论
1676,dance,跳舞
1677,analyst,分析师
1678,limit,限值
1679,like,喜欢
1680,regulation,调节
1681,being,存在
1682,last,最后的
1683,ring,环
1684,largely,大体上
1685,shift,换档
1686,revenue,收入
1687,locate,定位
1688,mark,马克
1689,(county),(县)
1690,appearance,外观
1691,package,包装
1692,difficulty,难度
1693,bridge,桥牌
1694,recommend,推荐
1695,obvious,显而易见
1696,train,火车
1697,basically,基本上
1698,e-mail,电子邮件
1699,generate,生成
1700,anymore,更多
1701,propose,求婚
1702,thinking,思考
1703,possibly,有可能
1704,trend,趋势
1705,visitor,访客
1706,loan,贷款
1707,currently,目前
1708,comfortable,舒适
1709,investor,投资者
1710,but,但
1711,profit,利润
1712,angry,愤怒
1713,crew,船员
1714,accident,事故
1715,deep,深度
1716,male,男性
1717,meal,用餐
1718,hearing,听证
1719,traffic,车流
1720,muscle,肌肉
1721,notion,概念
1722,capture,捕获
1723,prefer,更喜欢
1724,chest,胸部
1725,japanese,日语
1726,truly,真的
1727,(earth),(地球)
1728,search,搜寻
1729,thick,厚
1730,cash,现金
1731,museum,博物馆
1732,beauty,美
1733,emergency,紧急情况
1734,unique,独一无二
1735,feature,功能
1736,internal,内部
1737,ethnic,民族
1738,link,链环
1739,stress,压力
1740,content,内容
1741,select,选
1742,root,根部
1743,nose,鼻子
1744,declare,申报
1745,outside,外面
1746,appreciate,欣赏
1747,actual,实际
1748,bottle,瓶
1749,hardly,几乎不可能
1750,setting,设置
1751,launch,启动
1752,dress,连衣裙
1753,file,档案
1754,sick,生病
1755,outcome,结果
1756,ad,广告
1757,matter,物质
1758,defend,防守
1759,judge,法官
1760,duty,职责
1761,sheet,板材
1762,ensure,确保
1763,ought,应该
1764,long-term,长期的
1765,extremely,极致
1766,catholic,天主教徒
1767,extent,范围
1768,mix,混合
1769,component,组件
1770,slow,慢的
1771,contrast,对比度
1772,zone,分带
1773,wake,唤醒
1774,airport,机场
1775,ourselves,我们自己
1776,challenge,挑战
1777,chief,酋长
1778,brown,棕色
1779,standard,标准
1780,shirt,衬衫
1781,pilot,飞行员
1782,warn,警告
1783,ultimately,最终
1784,cat,猫
1785,contribution,贡献
1786,capacity,容量
1787,estate,产业
1788,guide,导览
1789,circumstance,情况
1790,snow,下雪
1791,english,英语
1792,politician,政治家
1793,steal,偷窃
1794,pursue,追求
1795,slip,滑倒
1796,percentage,百分比
1797,meat,肉
1798,funny,有趣的
1799,neither,都不是
1800,soil,土壤
1801,influence,影响力
1802,surgery,外科手术
1803,correct,对，是这样
1804,jewish,犹太人
1805,due,到期
1806,blame,责备
1807,estimate,预估
1808,basketball,蓝球
1809,late,太晚了
1810,golf,高尔夫球
1811,investigate,调查
1812,crazy,疯狂
1813,significantly,显著
1814,chain,链条
1815,address,地址
1816,branch,分支机构
1817,combination,组合
1818,just,只是
1819,frequently,经常
1820,governor,州长
1821,relief,浮雕
1822,user,用户
1823,dad,爸爸
1824,kick,踢
1825,part,部分
1826,ancient,古代
1827,manner,举止
1828,rating,评级
1829,silence,沉默
1830,golden,金黄
1831,motion,动议
1832,german,德语
1833,gender,性别
1834,solve,解算
1835,fee,收费
1836,landscape,景观
1837,used,使用
1838,bowl,碗
1839,equal,相等
1840,long,长
1841,official,官吏
1842,frame,车架
1843,forth,第四
1844,typical,典型
1845,except,除
1846,conservative,老气
1847,eliminate,消除
1848,hall,大厅
1849,host,主机
1850,trust,托拉斯
1851,ocean,海洋
1852,row,划
1853,score,得分
1854,producer,制片人
1855,afford,负担得起
1856,meanwhile,与此同时，
1857,regime,政权
1858,division,分部
1859,fix,修复
1860,confirm,确认
1861,appeal,上诉
1862,mirror,镜面
1863,tooth,牙齿
1864,length,长度
1865,smart,聪明
1866,rely,依靠
1867,entirely,完全
1868,complain,抱怨
1869,topic,主题
1870,issue,问题
1871,variable,变量
1872,back,背
1873,range,量程
1874,telephone,电话
1875,perception,知觉
1876,attract,吸引
1877,secret,秘密
1878,bedroom,卧室
1879,confidence,自信
1880,debt,债务
1881,rare,1~2成熟
1882,his,他的
1883,tank,油箱
1884,nurse,护士
1885,opposition,反对派
1886,coverage,覆盖范围
1887,aside,搁置一边
1888,anywhere,任何地方
1889,bond,债券
1890,file,档案
1891,pleasure,快感
1892,master,师傅
1893,era,新纪元
1894,requirement,要求
1895,stand,站
1896,check,查抄
1897,fun,有趣的
1898,wing,翼
1899,expectation,期望值
1900,now,现在
1901,separate,分开
1902,except,除
1903,clear,清除
1904,struggle,奋斗
1905,mean,中庸
1906,somewhat,有点
1907,pour,浇注
1908,stir,搅动
1909,judgment,判断
1910,clean,打扫
1911,beer,啤酒
1912,english,英语
1913,reference,参照物
1914,tear,撕裂
1915,doubt,怀疑
1916,grant,格兰特
1917,seriously,我是认真的
1918,account,帐户
1919,minister,部长
1920,totally,完全是
1921,hero,英雄
1922,industrial,工业
1923,cloud,云层
1924,stretch,拉伸
1925,winner,获胜者
1926,volume,体积
1927,travel,旅行
1928,seed,种子
1929,surprised,惊讶
1930,rest,休息
1931,fashion,时尚
1932,pepper,胡椒
1933,busy,忙碌
1934,separate,分开
1935,intervention,干预
1936,copy,拷贝
1937,tip,叶尖
1938,below,在下面
1939,cheap,便宜
1940,aim,目标
1941,cite,引证
1942,welfare,福利
1943,vegetable,蔬菜
1944,dish,菜肴
1945,improvement,改进
1946,beach,海滩
1947,everywhere,无处不在
1948,gray,灰色
1949,opening,开场
1950,overall,总体来说
1951,divide,分割
1952,initial,首字母
1953,terrible,太可怕了
1954,oppose,反对
1955,route,路线
1956,contemporary,当代
1957,multiple,多个
1958,essential,必要
1959,question,问题
1960,league,联盟
1961,careful,小心
1962,criminal,罪犯
1963,core,堆芯
1964,upper,上部
1965,rush,拉什
1966,necessarily,必然
1967,specifically,具体而言
1968,tired,累的
1969,rise,崛起
1970,tie,领带
1971,employ,员工
1972,holiday,假期
1973,dance,跳舞
1974,vast,广袤
1975,fewer,更少
1976,household,家庭
1977,resolution,决议
1978,abortion,堕胎
1979,witness,目击者
1980,apart,分开
1981,match,火柴
1982,barely,勉强
1983,sector,扇区
1984,emphasize,强调
1985,representative,代表
1986,beneath,在下面
1987,lack,缺乏
1988,black,黑色
1989,incident,事件
1990,beside,旁边
1991,limited,有限
1992,proud,引以为傲
1993,flow,流量
1994,faculty,教职员工
1995,waste,浪费
1996,increased,增加了
1997,merely,仅仅是
1998,mass,质量
1999,experiment,实验
2000,definitely,一定
2001,bomb,炸弹
2002,liberal,自由主义
2003,enormous,巨大的
2004,tone,声调
2005,massive,巨大的
2006,engineer,工程师
2007,female,女性
2008,wheel,车轮
2009,decline,衰败
2010,invest,投资
2011,promise,承诺
2012,cable,电缆
2013,towards,朝向
2014,expose,曝光
2015,rural,农村
2016,narrow,狭隘
2017,cream,乳霜
2018,secretary,秘书
2019,gate,闸
2020,solid,实心
2021,(hill),(希尔)
2022,noise,噪音
2023,typically,通常
2024,grass,草
2025,hat,帽子
2026,unfortunately,不幸的是
2027,legislation,立法
2028,succeed,成功
2029,celebrate,庆祝
2030,either,任一种
2031,achievement,成就
2032,fishing,钓鱼
2033,drink,喝
2034,accuse,指控
2035,hand,手
2036,useful,有用
2037,land,土地
2038,secret,秘密
2039,reject,拒绝
2040,talent,人才
2041,taste,品味
2042,characteristic,特点
2043,milk,牛奶
2044,escape,逃逸
2045,cast,演员阵容
2046,sentence,判刑
2047,unusual,不同寻常
2048,closely,紧密地
2049,convince,说服
2050,height,高度
2051,physician,内科医生
2052,assess,评估
2053,sleep,睡觉吧
2054,plenty,很多
2055,ride,骑
2056,virtually,虚拟
2057,first,第一
2058,addition,加法
2059,sharp,锋利
2060,creative,创意
2061,behind,在后面
2062,lower,更低
2063,approve,批准
2064,explanation,解释
2065,outside,外面
2066,gay,同性恋
2067,honor,荣誉
2068,proper,适当的
2069,campus,校园
2070,live,活着
2071,guilty,有罪
2072,living,活生生
2073,acquire,收购
2074,technical,技术性
2075,compete,竞争
2076,plus,加
2077,mind,心念
2078,potential,潜力
2079,immigrant,移民
2080,weak,瘦弱
2081,illegal,非法
2082,hi,嗨
2083,alternative,替代方案
2084,column,栏目
2085,interaction,互动
2086,personality,个性
2087,curriculum,课程设置
2088,signal,讯号
2089,list,列表
2090,passenger,旅客
2091,assistance,协助
2092,forever,永远
2093,fun,有趣的
2094,regard,尊重
2095,israeli,以色列人
2096,(association),(协会)
2097,twenty,二十
2098,knock,敲门
2099,review,检讨
2100,lab,实验室
2101,wrap,包装
2102,offer,报盘
2103,display,显示
2104,criticism,批评
2105,asset,资产
2106,depression,抑郁症
2107,spiritual,精神上的
2108,musical,音乐剧
2109,prayer,祈祷
2110,journalist,记者
2111,suspect,疑犯
2112,scholar,学者
2113,warning,告警
2114,climate,气候
2115,cheese,芝士
2116,observation,观察
2117,payment,付款
2118,childhood,童年
2119,sir,先生
2120,permit,许可证
2121,definition,定义
2122,cigarette,香烟
2123,priority,优先级
2124,bread,面包
2125,creation,创作
2126,graduate,毕业生
2127,request,请求
2128,emotion,情感
2129,scream,尖叫
2130,dramatic,戏剧性
2131,universe,宇宙
2132,gap,间隙
2133,deeply,深深地
2134,excellent,精益求精
2135,prosecutor,检察官
2136,(mark),(马克)
2137,green,绿色
2138,lucky,幸运的
2139,drag,拖曳
2140,airline,航空公司
2141,library,图书馆
2142,agenda,议程
2143,recover,恢复
2144,factory,工厂
2145,selection,选择
2146,primarily,主要是
2147,roof,屋顶
2148,unable,无法
2149,expense,费用
2150,initiative,主动权
2151,diet,饮食
2152,arrest,逮捕
2153,funding,资金来源
2154,therapy,治疗
2155,wash,洗
2156,schedule,进度表
2157,sad,悲伤的
2158,brief,简略
2159,housing,住房
2160,post,邮政
2161,purchase,购进
2162,existing,现有
2163,dark,漆黑
2164,steel,钢
2165,regarding,关于
2166,shout,喊一声
2167,remaining,剩余
2168,visual,目视
2169,fairly,相当公平
2170,violent,暴力
2171,chip,芯片
2172,silent,无声的
2173,suppose,假设
2174,self,自性
2175,bike,自行车
2176,tea,茶
2177,perceive,感知
2178,comparison,比较
2179,settlement,聚落
2180,layer,层
2181,planning,规划
2182,far,远
2183,description,描述
2184,later,后来
2185,slow,慢的
2186,slide,幻灯片
2187,widely,广泛地
2188,wedding,婚礼
2189,inform,通知
2190,portion,部分
2191,territory,领地
2192,immediate,即刻
2193,opponent,对手
2194,abandon,放弃
2195,link,链环
2196,mass,质量
2197,(lake),(湖)
2198,transform,转型
2199,tension,紧张
2200,display,显示
2201,leading,领先
2202,bother,烦扰
2203,consist,组成
2204,alcohol,酒精
2205,enable,启用
2206,saving,节省开支
2207,bend,本德
2208,gain,利得
2209,desert,沙漠
2210,shall,将会
2211,error,误差率
2212,cop,科普
2213,release,发布
2214,arab,阿拉伯人
2215,double,双倍
2216,walk,步行
2217,spanish,西语
2218,sand,沙子
2219,rule,规则
2220,print,打印
2221,hit,打中
2222,preserve,保留
2223,passage,通过
2224,formal,正式的
2225,transition,过渡
2226,existence,存在
2227,participation,参与
2228,album,相册
2229,arrange,安排
2230,atmosphere,大气
2231,joint,接合
2232,reply,回覆
2233,cycle,循环
2234,lock,锁
2235,opposite,对面
2236,whole,整体
2237,deserve,应得的
2238,consistent,一致的
2239,resistance,抵抗力
2240,discovery,发现
2241,tear,撕裂
2242,exposure,暴露量
2243,pose,摆姿势
2244,stream,溪流
2245,trust,托拉斯
2246,benefit,优势
2247,sale,销售
2248,pot,锅
2249,mine,矿场
2250,grand,宏伟
2251,hello,你好
2252,tale,故事
2253,knife,小刀
2254,coalition,联盟
2255,resolve,解决
2256,racial,种族
2257,phase,相位
2258,present,现在时
